nama_makanan,kategori,kalori,protein,lemak,karbo,harga
Kedelai Beku,Lainnya,414,27.3,27.0,27.5,22159
Apel Manis,Buah,76,0.5,1.7,29.3,26372
Daging Kerbau Beku,Protein,175,22.8,3.2,3.5,79531
Pisang Organik,Buah,73,1.1,0.8,17.6,21942
Daging Kerbau Merah,Protein,270,22.0,6.5,4.4,65872
Beras Pilihan,Karbohidrat,366,6.7,1.8,79.2,21505
Sawi Organik,Lainnya,16,3.0,0.1,5.7,23253
Ikan Tongkol Curah,Protein,164,17.9,1.6,1.9,97034
Pepaya Putih,Buah,69,1.3,0.0,23.8,11296
Wortel Merah,Sayur,29,2.8,0.9,3.5,16395
Kopi Beku,Lainnya,35,7.6,5.4,19.9,18145
Jus Organik,Lainnya,114,6.9,1.9,21.4,30738
Beras Beku,Karbohidrat,365,6.4,2.1,78.9,19759
Sosis Rendah Lemak,Lainnya,408,17.7,29.9,54.0,61158
Kangkung Pilihan,Sayur,46,1.2,0.2,11.7,10378
Biskuit Premium,Lainnya,232,12.3,23.9,38.7,38414
Jus Pedas,Lainnya,148,1.0,3.8,17.6,39744
Daging Sapi Super,Protein,286,23.3,3.1,4.4,99774
Kacang Hijau Merah,Lainnya,367,16.6,17.6,29.0,38360
Kedelai Pedas,Lainnya,493,22.1,40.3,39.1,47603
Melon Beku,Buah,51,1.6,0.2,24.7,47386
Ikan Tongkol Pedas,Protein,246,23.1,12.1,1.5,30980
Teh Pedas,Lainnya,132,6.8,4.3,13.6,25398
Mete Asin,Lainnya,421,27.2,38.6,23.4,37714
Sosis Kemasan,Lainnya,148,4.5,29.7,43.6,99148
Daging Sapi Merah,Protein,189,26.5,20.2,3.3,52441
Nasi Pilihan,Karbohidrat,367,7.4,2.1,80.2,13491
Ikan Bandeng Tinggi Protein,Protein,96,18.9,3.2,0.5,29205
Jeruk Manis,Lainnya,78,0.9,1.8,11.1,50751
Sosis Tinggi Protein,Lainnya,211,7.1,20.1,41.7,21375
Ikan Bandeng Segar,Protein,140,15.1,6.1,0.1,65867
Susu Rendah Lemak,Lainnya,143,3.1,1.3,7.3,13630
Daging Kambing Premium,Protein,257,29.7,19.2,4.1,59045
Jus Pedas,Lainnya,77,2.1,0.7,16.0,29681
Ikan Bandeng Tinggi Protein,Protein,228,27.7,10.1,0.8,37641
Almond Putih,Lainnya,370,32.0,12.1,49.4,64798
Tomat Lokal,Lainnya,22,3.2,0.1,9.1,12230
Beras Segar,Karbohidrat,344,7.1,0.9,77.1,21564
Mentimun Manis,Lainnya,40,4.4,0.5,3.8,19284
Tahu Pedas,Protein,301,8.6,9.1,56.8,60229
Sosis Putih,Lainnya,377,18.7,8.6,13.5,55448
Susu Lokal,Lainnya,128,7.5,2.4,26.6,6953
Ikan Tuna Premium,Protein,131,19.1,15.7,0.3,72170
Wortel Pilihan,Sayur,44,3.2,0.0,5.4,12303
Ikan Tongkol Kemasan,Protein,153,16.9,13.0,0.8,79429
Daging Kambing Putih,Protein,291,20.2,22.6,4.8,70435
Ikan Lele Asin,Protein,230,27.9,14.3,2.1,111458
Kacang Hijau Rendah Lemak,Lainnya,402,23.8,35.0,43.9,44462
Nugget Merah,Lainnya,254,12.2,27.2,23.0,27858
Mie Merah,Lainnya,147,9.2,29.4,23.7,31184
Tempe Tinggi Protein,Protein,397,5.6,15.2,34.1,94375
Pisang Rendah Lemak,Buah,61,0.5,0.9,10.6,11179
Brokoli Tinggi Protein,Sayur,22,3.3,0.1,3.7,11972
Mangga Lokal,Lainnya,38,0.8,0.9,15.9,29067
Nasi Import,Karbohidrat,371,8.9,2.8,78.2,20223
Daging Sapi Hitam,Protein,133,26.1,23.0,2.3,82554
Bayam Pedas,Protein,42,3.3,0.5,6.4,13715
Pisang Super,Buah,94,1.7,0.6,23.1,44308
Ikan Tuna Import,Protein,123,20.4,2.7,2.5,94387
Daging Kerbau Hijau,Protein,137,18.6,16.9,3.2,105703
Kedelai Merah,Lainnya,500,31.2,27.9,39.1,15011
Ikan Lele Organik,Protein,156,16.5,16.0,1.5,33499
Kedelai Beku,Lainnya,302,31.3,18.2,48.0,60158
Jus Hitam,Lainnya,22,1.5,5.4,4.9,22497
Nasi Beku,Karbohidrat,345,7.1,3.0,81.6,17034
Ikan Lele Rendah Lemak,Protein,95,24.5,11.0,1.5,32212
Beras Segar,Karbohidrat,375,8.2,2.6,81.8,12621
Daging Kambing Beku,Protein,174,29.4,24.7,1.1,143521
Kedelai Premium,Lainnya,492,26.2,14.0,26.7,63763
Kedelai Hijau,Lainnya,414,30.9,22.6,37.2,84606
Ikan Tuna Rendah Lemak,Protein,137,25.1,12.4,2.5,89826
Pisang Hitam,Buah,72,0.4,1.1,12.3,42038
Anggur Kemasan,Lainnya,94,0.7,1.8,9.0,52761
Ikan Bandeng Curah,Protein,168,21.1,15.5,0.7,64013
Kangkung Premium,Sayur,29,2.7,1.0,11.5,35281
Kacang Tanah Curah,Lainnya,498,28.2,12.2,40.6,58724
Kacang Tanah Rendah Lemak,Lainnya,396,33.9,15.6,24.2,61552
Beras Rendah Lemak,Karbohidrat,363,8.0,0.0,78.1,19465
Kopi Super,Lainnya,121,5.6,6.6,10.6,28577
Daging Kerbau Lokal,Protein,145,19.7,5.6,0.1,138830
Daging Kambing Tinggi Protein,Protein,265,21.7,6.5,4.7,143375
Daging Sapi Manis,Protein,228,22.1,21.4,0.4,158006
Kedelai Super,Lainnya,414,30.7,27.8,44.8,80179
Ketan Beku,Lainnya,351,8.8,2.3,80.7,18163
Sawi Merah,Lainnya,23,2.2,0.3,4.4,33746
Susu Beku,Lainnya,70,0.6,6.4,10.4,19388
Tahu Hitam,Protein,410,6.3,19.2,45.5,56526
Beras Tinggi Protein,Karbohidrat,371,7.0,2.3,79.3,17247
Jeruk Import,Lainnya,55,0.3,0.9,16.0,28480
Beras Hitam,Karbohidrat,347,6.8,0.3,76.7,20033
Kopi Lokal,Lainnya,96,0.1,6.6,2.9,37041
Anggur Rendah Lemak,Lainnya,108,1.7,1.0,25.6,8472
Nugget Segar,Lainnya,207,15.6,2.3,56.2,76815
Nasi Curah,Karbohidrat,376,7.6,1.2,77.7,15798
Mangga Pilihan,Lainnya,55,2.6,1.3,28.7,24199
Brokoli Asin,Sayur,25,4.9,0.3,7.9,18175
Ikan Bandeng Pedas,Protein,173,20.0,9.8,0.6,77223
Kubis Rendah Lemak,Lainnya,46,4.0,0.1,10.9,37227
Wortel Hitam,Sayur,37,4.9,0.8,8.1,38970
Melon Hijau,Buah,84,2.4,0.8,15.3,41303
Roti Kemasan,Lainnya,262,3.5,21.8,16.2,97385
Nugget Import,Lainnya,184,8.4,7.5,48.6,77161
Ketan Premium,Lainnya,376,7.1,0.3,80.2,15900
Tahu Curah,Protein,360,2.3,25.8,52.8,76775
Pepaya Curah,Buah,110,1.1,1.7,12.9,29386
Daging Kambing Manis,Protein,176,19.5,15.7,3.6,80416
Roti Organik,Lainnya,424,18.4,25.6,38.3,21203
Brokoli Pilihan,Sayur,39,1.1,0.7,6.8,37705
Ikan Tongkol Hijau,Protein,169,22.8,4.5,1.4,95479
Tomat Hitam,Lainnya,45,4.9,0.4,9.2,33330
Bayam Putih,Protein,59,4.5,0.2,3.3,34399
Ikan Kembung Lokal,Protein,139,22.9,14.4,0.4,89142
Ikan Tuna Putih,Protein,229,19.1,1.6,1.8,61526
Ikan Bandeng Beku,Protein,166,27.7,10.2,0.6,26519
Ikan Lele Pilihan,Protein,216,20.8,14.8,0.4,89636
Ketan Curah,Lainnya,376,8.2,2.9,78.5,13299
Kopi Super,Lainnya,16,1.9,6.7,16.9,10133
Daging Kerbau Hitam,Protein,121,22.8,24.8,3.2,111323
Kangkung Super,Sayur,16,4.7,0.8,3.5,15291
Semangka Lokal,Lainnya,71,2.5,1.5,9.1,12053
Pepaya Pedas,Buah,58,1.9,0.4,16.4,32353
Nugget Pilihan,Lainnya,217,6.8,17.0,48.3,22547
Bayam Manis,Protein,58,1.1,0.7,5.8,30971
Daging Sapi Manis,Protein,213,21.8,21.8,3.7,99895
Almond Pedas,Lainnya,325,22.4,24.8,14.4,79254
Beras Segar,Karbohidrat,370,7.3,2.6,78.2,21365
Ketan Hijau,Lainnya,372,6.7,0.1,81.2,17430
Ketan Kemasan,Lainnya,372,7.0,2.7,78.9,14423
Daging Kambing Pedas,Protein,188,24.1,21.3,2.3,71497
Daging Kerbau Merah,Protein,269,22.4,9.7,3.0,146143
Teh Merah,Lainnya,32,6.1,1.8,19.4,32726
Ikan Tongkol Organik,Protein,177,23.0,1.3,2.6,50876
Daging Kambing Organik,Protein,237,27.4,16.0,2.0,122963
Teh Beku,Lainnya,144,4.7,5.6,10.0,32403
Melon Pedas,Buah,94,1.5,0.6,25.2,35825
Ketan Tinggi Protein,Lainnya,364,7.5,2.9,77.0,19662
Kacang Hijau Pilihan,Lainnya,504,31.4,35.9,39.2,50397
Kedelai Putih,Lainnya,392,20.3,35.5,33.3,56638
Kacang Hijau Pilihan,Lainnya,575,18.0,30.6,34.9,71991
Bayam Tinggi Protein,Protein,54,2.9,0.7,8.8,11143
Kacang Tanah Tinggi Protein,Lainnya,371,29.2,16.6,20.6,82136
Susu Manis,Lainnya,11,7.9,7.9,15.3,24020
Kangkung Kemasan,Sayur,23,1.9,0.2,8.5,13492
Biskuit Premium,Lainnya,155,7.0,10.8,20.6,68893
Kacang Tanah Beku,Lainnya,439,21.8,38.9,23.6,56358
Ikan Bandeng Asin,Protein,165,20.4,1.5,2.6,101515
Ikan Lele Lokal,Protein,106,27.1,1.4,1.5,67745
Ketan Segar,Lainnya,373,8.9,0.2,80.9,19827
Teh Rendah Lemak,Lainnya,124,6.7,4.6,13.2,14436
Beras Segar,Karbohidrat,352,8.2,1.1,75.6,20146
Jeruk Kemasan,Lainnya,61,1.0,0.7,14.2,40875
Nugget Pedas,Lainnya,178,15.5,28.6,24.8,16891
Teh Rendah Lemak,Lainnya,100,2.8,0.3,2.8,20197
Wortel Putih,Sayur,23,3.7,0.6,10.5,16674
Ikan Tongkol Pedas,Protein,147,25.1,3.7,1.9,73216
Mie Rendah Lemak,Lainnya,101,11.7,23.1,31.9,51672
Mete Pedas,Lainnya,401,29.8,14.7,25.8,25608
Beras Hitam,Karbohidrat,342,6.8,2.3,78.5,18080
Pepaya Kemasan,Buah,111,2.5,1.1,19.5,35686
Daging Ayam Hijau,Protein,221,27.1,14.3,3.5,178294
Ikan Tuna Kemasan,Protein,169,26.7,13.3,1.0,115060
Daging Kerbau Putih,Protein,183,25.8,14.9,4.7,161309
Ikan Tuna Premium,Protein,187,23.1,11.6,1.7,58687
Tomat Pedas,Lainnya,19,3.4,0.7,8.7,10829
Kopi Tinggi Protein,Lainnya,65,6.0,3.4,27.8,36800
Melon Pilihan,Buah,51,2.7,1.8,17.7,42025
Tempe Kemasan,Protein,193,10.7,11.1,18.7,44666
Kedelai Beku,Lainnya,502,15.5,14.0,14.9,74082
Roti Segar,Lainnya,168,13.7,15.4,21.4,38902
Daging Sapi Curah,Protein,289,27.1,16.1,3.4,168068
Kubis Lokal,Lainnya,57,2.9,0.7,5.2,17448
Mentimun Beku,Lainnya,36,2.8,0.3,10.3,26452
Teh Hitam,Lainnya,120,2.5,2.8,4.7,38954
Mete Beku,Lainnya,396,34.6,39.3,47.1,60999
Bayam Merah,Protein,49,4.4,0.9,4.2,20565
Nugget Hitam,Lainnya,434,8.7,17.4,47.1,78194
Pisang Premium,Buah,70,2.6,1.9,12.2,59530
Kacang Tanah Organik,Lainnya,319,27.3,23.9,16.1,67448
Ketan Lokal,Lainnya,379,8.5,2.4,77.1,14499
Kacang Tanah Premium,Lainnya,597,30.9,27.6,30.8,42120
Tomat Segar,Lainnya,59,2.0,0.2,6.9,29561
Pepaya Beku,Buah,115,2.3,1.0,14.9,34062
Kubis Beku,Lainnya,59,4.3,0.7,9.0,18566
Sosis Hijau,Lainnya,148,15.4,12.4,23.9,63892
Ikan Tongkol Hijau,Protein,157,16.5,16.7,2.3,49740
Susu Manis,Lainnya,54,3.8,2.8,26.6,31955
Pepaya Segar,Buah,67,1.1,1.6,23.4,41811
Jeruk Asin,Lainnya,54,0.8,0.7,24.9,9588
Tomat Segar,Lainnya,38,2.2,0.3,10.5,38671
Nasi Manis,Karbohidrat,348,8.2,2.6,80.4,20496
Mie Pedas,Lainnya,290,8.1,18.7,26.7,83314
Mentimun Rendah Lemak,Lainnya,45,5.0,0.4,4.2,20243
Nasi Kemasan,Karbohidrat,364,8.6,2.1,79.6,12094
Teh Putih,Lainnya,111,0.8,4.2,24.1,11460
Pepaya Segar,Buah,34,0.4,0.7,13.5,30957
Kacang Tanah Pilihan,Lainnya,515,16.7,28.1,17.8,77948
Sosis Import,Lainnya,345,7.3,27.2,21.2,72758
Daging Ayam Manis,Protein,155,19.5,3.2,3.7,164018
Ketan Super,Lainnya,359,8.2,3.0,80.0,12092
Melon Manis,Buah,118,0.4,0.7,26.4,27432
Susu Lokal,Lainnya,11,6.3,2.0,28.8,22378
Jus Tinggi Protein,Lainnya,35,6.7,3.6,16.6,10931
Almond Merah,Lainnya,498,15.5,15.6,30.2,17441
Ketan Putih,Lainnya,349,7.5,1.5,77.3,21677
Jus Hitam,Lainnya,27,0.5,0.5,14.5,11132
Biskuit Pedas,Lainnya,137,9.0,15.1,23.3,33008
Kacang Hijau Pilihan,Lainnya,322,30.0,41.6,40.3,31107
Tahu Rendah Lemak,Protein,167,4.1,5.3,25.9,26141
Bayam Lokal,Protein,29,2.2,0.9,8.7,26032
Kacang Hijau Putih,Lainnya,489,17.2,26.3,34.4,30229
Bayam Super,Protein,57,2.4,0.1,3.1,27932
Ketan Kemasan,Lainnya,370,7.7,2.1,76.6,21656
Mentimun Putih,Lainnya,18,4.4,0.3,5.1,37320
Semangka Hijau,Lainnya,104,1.8,0.6,24.7,52399
Ikan Lele Manis,Protein,93,19.8,15.0,2.7,112121
Kangkung Pedas,Sayur,27,2.3,0.8,9.4,29185
Ikan Bandeng Super,Protein,144,23.3,8.0,0.2,62715
Wortel Putih,Sayur,45,4.4,0.7,5.3,8904
Beras Pedas,Karbohidrat,362,7.4,0.2,78.2,14535
Mentimun Merah,Lainnya,56,4.1,0.8,9.1,36618
Daging Ayam Curah,Protein,230,28.5,18.3,4.9,163478
Daging Ayam Asin,Protein,299,23.1,24.2,1.8,121903
Mentimun Tinggi Protein,Lainnya,40,2.4,0.9,8.0,14876
Biskuit Curah,Lainnya,244,2.8,6.4,33.9,11190
Ikan Tongkol Organik,Protein,181,25.5,5.2,1.4,91084
Wortel Manis,Sayur,15,4.8,0.5,5.3,26340
Susu Hijau,Lainnya,142,4.4,6.6,13.5,39093
Apel Putih,Buah,62,2.6,0.5,20.3,49259
Pisang Premium,Buah,68,2.5,1.9,10.1,28784
Jus Merah,Lainnya,13,0.7,0.9,15.0,36178
Nasi Rendah Lemak,Karbohidrat,352,7.3,0.1,79.8,19684
Daging Kambing Tinggi Protein,Protein,255,25.1,5.1,1.9,51887
Nasi Hijau,Karbohidrat,363,6.6,2.2,81.4,20508
Almond Lokal,Lainnya,441,16.7,32.7,26.2,75206
Kacang Hijau Tinggi Protein,Lainnya,360,25.6,33.1,47.9,82942
Daging Sapi Super,Protein,233,25.5,6.8,2.6,52556
Mentimun Pedas,Lainnya,53,1.9,0.5,7.6,14024
Ikan Lele Asin,Protein,120,15.4,5.5,2.1,68232
Tomat Organik,Lainnya,26,1.3,0.2,9.6,18376
Semangka Segar,Lainnya,38,0.6,1.4,11.9,52885
Mentimun Hitam,Lainnya,45,3.3,0.5,4.4,7105
Biskuit Hitam,Lainnya,133,6.8,26.3,14.6,44428
Roti Organik,Lainnya,382,15.8,18.3,34.0,86520
Ikan Bandeng Hijau,Protein,122,15.5,17.4,0.9,114969
Ikan Tongkol Pilihan,Protein,236,25.3,4.2,0.9,77532
Daging Kerbau Manis,Protein,238,27.4,14.4,2.1,154928
Melon Hitam,Buah,49,2.3,1.3,18.3,18744
Nasi Asin,Karbohidrat,363,8.9,0.5,79.2,15076
Kangkung Pedas,Sayur,49,1.8,0.7,5.7,5659
Daging Ayam Lokal,Protein,254,20.9,20.1,1.9,165043
Ikan Kembung Tinggi Protein,Protein,221,15.1,14.0,1.4,26989
Biskuit Kemasan,Lainnya,314,6.8,3.8,35.8,17018
Daging Ayam Tinggi Protein,Protein,157,27.8,9.4,3.8,111963
Kangkung Hijau,Sayur,28,1.0,0.6,11.2,9350
Daging Kerbau Asin,Protein,276,20.1,18.6,3.0,51299
Daging Kerbau Lokal,Protein,235,29.6,13.7,2.1,84416
Nasi Hijau,Karbohidrat,342,6.5,0.9,77.0,20079
Daging Kambing Curah,Protein,175,27.7,9.9,1.5,129322
Ikan Bandeng Pilihan,Protein,232,22.8,2.5,2.4,85854
Biskuit Kemasan,Lainnya,345,2.8,23.8,54.9,45769
Biskuit Tinggi Protein,Lainnya,158,11.1,3.0,42.6,37705
Sosis Beku,Lainnya,231,12.6,13.7,34.3,55115
Daging Kambing Premium,Protein,267,23.5,8.7,1.8,122779
Nasi Super,Karbohidrat,366,8.6,1.5,78.5,13496
Nasi Import,Karbohidrat,376,6.1,1.6,80.7,14551
Daging Ayam Hijau,Protein,229,23.5,10.8,4.9,121463
Ikan Tuna Premium,Protein,171,17.6,17.7,0.0,69590
Nasi Asin,Karbohidrat,342,7.0,1.5,80.3,14625
Ketan Pedas,Lainnya,350,7.2,2.7,78.8,12861
Sawi Organik,Lainnya,50,1.3,0.2,11.9,13119
Ketan Super,Lainnya,345,8.2,2.8,81.2,15579
Daging Kerbau Premium,Protein,233,19.4,16.1,0.5,68158
Daging Sapi Kemasan,Protein,188,23.2,17.7,0.9,54015
Daging Kerbau Organik,Protein,214,22.0,3.8,0.2,153496
Roti Premium,Lainnya,261,14.8,25.9,10.3,34705
Jus Organik,Lainnya,82,7.4,1.7,5.7,24033
Pepaya Super,Buah,87,2.7,0.4,15.1,22812
Beras Manis,Karbohidrat,371,6.1,0.4,80.0,16777
Pepaya Pedas,Buah,82,2.5,1.8,18.6,49704
Ikan Tongkol Pilihan,Protein,131,16.3,10.2,0.0,58484
Nugget Kemasan,Lainnya,410,15.7,24.8,53.3,39119
Almond Premium,Lainnya,366,29.6,30.5,34.0,27324
Ikan Kembung Segar,Protein,90,17.8,4.3,0.4,100354
Ikan Bandeng Pedas,Protein,112,26.0,14.1,2.6,117704
Apel Putih,Buah,61,2.5,0.4,13.8,14398
Daging Sapi Merah,Protein,144,28.4,7.0,4.9,101270
Ketan Hijau,Lainnya,372,7.2,1.6,77.1,21938
Susu Segar,Lainnya,83,7.4,3.1,8.2,19635
Melon Merah,Buah,85,2.3,0.6,13.9,30230
Beras Asin,Karbohidrat,359,6.4,2.2,75.9,19857
Ikan Lele Pilihan,Protein,194,16.5,2.0,2.4,50018
Ikan Kembung Tinggi Protein,Protein,213,22.6,17.1,1.1,83816
Daging Kambing Rendah Lemak,Protein,167,29.5,9.6,0.1,59097
Pepaya Pedas,Buah,107,0.8,0.4,22.1,50870
Semangka Asin,Lainnya,39,0.4,1.9,14.4,58873
Ikan Tuna Pedas,Protein,217,27.8,1.3,0.9,62924
Ikan Bandeng Lokal,Protein,195,22.6,10.6,0.8,78407
Ketan Rendah Lemak,Lainnya,375,8.7,1.3,75.3,16502
Kopi Pilihan,Lainnya,68,7.5,0.1,9.9,32728
Ikan Bandeng Import,Protein,119,15.9,11.9,0.0,51466
Ikan Tuna Kemasan,Protein,160,22.6,5.8,2.6,48318
Ikan Tongkol Segar,Protein,195,15.0,10.1,0.7,80366
Apel Lokal,Buah,94,1.2,0.8,9.7,25185
Biskuit Curah,Lainnya,336,17.3,26.2,12.5,44951
Kacang Hijau Merah,Lainnya,593,31.1,31.6,18.5,22281
Mangga Pilihan,Lainnya,74,2.7,0.7,11.5,35921
Beras Segar,Karbohidrat,348,6.4,0.0,77.7,19152
Ikan Tongkol Manis,Protein,193,18.9,2.1,0.6,115343
Kacang Hijau Tinggi Protein,Lainnya,432,21.0,32.8,35.2,86071
Almond Manis,Lainnya,481,22.6,37.1,41.0,53768
Ikan Bandeng Merah,Protein,133,16.3,15.6,0.0,25999
Roti Super,Lainnya,178,17.3,19.1,15.3,51424
Tomat Pilihan,Lainnya,23,2.2,0.9,12.0,16969
Sosis Pilihan,Lainnya,385,18.7,4.6,14.9,12794
Kacang Hijau Tinggi Protein,Lainnya,309,25.2,34.0,23.2,17933
Biskuit Segar,Lainnya,426,15.9,5.2,48.4,14555
Ikan Tongkol Merah,Protein,95,21.3,10.8,1.1,94496
Pisang Import,Buah,111,0.7,0.3,20.6,51132
Susu Kemasan,Lainnya,19,2.2,5.0,13.2,24811
Pisang Rendah Lemak,Buah,56,2.9,0.4,22.9,27208
Daging Kambing Tinggi Protein,Protein,224,27.8,6.6,4.8,69479
Ikan Tongkol Merah,Protein,247,18.5,1.2,1.8,76852
Pisang Manis,Buah,96,0.0,0.0,27.1,26686
Ikan Bandeng Putih,Protein,140,17.5,9.6,1.3,112371
Ikan Kembung Rendah Lemak,Protein,183,25.9,3.7,2.7,87681
Biskuit Premium,Lainnya,288,2.5,19.3,56.9,63960
Kacang Tanah Manis,Lainnya,584,32.0,42.8,19.2,35784
Jeruk Organik,Lainnya,118,1.6,1.7,25.2,51539
Susu Segar,Lainnya,98,1.4,2.8,29.8,11589
Ikan Kembung Pedas,Protein,91,19.5,11.3,1.0,56052
Daging Sapi Hitam,Protein,277,27.8,22.3,2.3,156232
Tahu Import,Protein,371,16.7,9.2,59.0,55787
Kacang Tanah Putih,Lainnya,544,25.1,35.9,22.5,70244
Daging Kambing Putih,Protein,171,20.2,5.9,4.3,157877
Ikan Lele Merah,Protein,155,24.8,14.0,1.0,69580
Ketan Pedas,Lainnya,356,8.5,1.2,80.6,13674
Ketan Tinggi Protein,Lainnya,362,7.9,1.7,79.4,21194
Mangga Rendah Lemak,Lainnya,86,2.4,1.9,13.7,15688
Sawi Lokal,Lainnya,39,3.5,0.7,7.5,20256
Ikan Lele Rendah Lemak,Protein,147,25.2,10.1,1.5,47567
Pepaya Manis,Buah,40,2.3,0.4,11.3,52000
Jeruk Organik,Lainnya,113,3.0,1.8,12.4,27384
Ikan Tongkol Pedas,Protein,156,21.8,11.3,1.6,116257
Ikan Bandeng Merah,Protein,117,26.3,5.1,1.8,110284
Ketan Beku,Lainnya,352,7.9,2.2,77.2,20655
Anggur Lokal,Lainnya,104,2.2,0.6,16.9,52583
Ikan Tuna Lokal,Protein,114,21.3,13.1,0.2,26856
Almond Pedas,Lainnya,472,17.5,27.7,32.2,32947
Tahu Pedas,Protein,301,7.0,2.0,48.0,54916
Kacang Hijau Asin,Lainnya,322,26.8,20.5,25.4,56844
Semangka Rendah Lemak,Lainnya,111,1.2,1.9,26.6,30864
Sawi Lokal,Lainnya,24,1.8,0.4,11.9,11700
Mangga Pedas,Lainnya,37,2.9,0.8,21.2,20658
Daging Ayam Hitam,Protein,250,18.5,10.8,4.8,72712
Susu Lokal,Lainnya,67,5.9,4.9,21.3,24388
Ikan Kembung Beku,Protein,92,16.0,14.6,0.2,54650
Kopi Beku,Lainnya,46,4.7,7.9,20.1,32615
Mentimun Super,Lainnya,19,1.5,0.2,6.2,38311
Nasi Tinggi Protein,Karbohidrat,369,6.8,2.3,81.3,15578
Pisang Tinggi Protein,Buah,34,0.1,1.9,11.0,23137
Nugget Kemasan,Lainnya,385,18.3,17.2,47.6,16872
Ikan Kembung Super,Protein,150,21.4,12.2,1.4,80200
Biskuit Lokal,Lainnya,276,5.2,3.3,25.7,61144
Kedelai Manis,Lainnya,587,21.2,37.5,35.5,61946
Ikan Tongkol Hijau,Protein,108,19.7,10.5,0.0,88260
Nasi Pedas,Karbohidrat,375,7.8,2.7,78.3,14663
Daging Sapi Hitam,Protein,213,26.8,9.0,3.3,62395
Ikan Lele Asin,Protein,232,22.4,9.0,1.1,103108
Nugget Segar,Lainnya,102,2.3,15.2,36.8,16012
Ikan Lele Pedas,Protein,143,18.4,16.8,0.9,94240
Tempe Putih,Protein,294,11.1,27.9,59.5,46152
Kacang Hijau Manis,Lainnya,424,19.0,39.7,40.8,78404
Jus Organik,Lainnya,63,2.9,7.4,28.6,31249
Kopi Rendah Lemak,Lainnya,131,1.8,0.9,8.0,39267
Ketan Segar,Lainnya,362,6.9,0.6,78.7,19934
Kedelai Tinggi Protein,Lainnya,600,15.5,12.3,10.9,83936
Ketan Pedas,Lainnya,345,8.3,0.2,80.7,15822
Tahu Hijau,Protein,145,6.3,9.4,12.8,30987
Tempe Import,Protein,367,10.3,13.1,52.4,22468
Kedelai Import,Lainnya,489,27.7,20.6,43.7,67803
Jus Putih,Lainnya,97,1.8,5.1,13.3,30227
Semangka Tinggi Protein,Lainnya,111,2.2,1.6,22.5,52175
Mie Organik,Lainnya,332,9.5,6.6,21.0,71755
Nasi Hijau,Karbohidrat,349,7.7,3.0,81.2,15365
Daging Kerbau Hitam,Protein,220,24.5,24.0,1.9,113801
Nasi Lokal,Karbohidrat,357,7.4,1.7,81.9,13760
Kacang Tanah Asin,Lainnya,480,25.6,24.2,37.9,57314
Tomat Tinggi Protein,Lainnya,39,3.9,0.2,9.2,34901
Ketan Beku,Lainnya,345,7.1,1.3,81.6,19102
Ikan Bandeng Merah,Protein,136,21.1,5.3,0.8,42458
Daging Kambing Hitam,Protein,234,23.2,17.1,3.5,153201
Nugget Pilihan,Lainnya,168,2.3,27.3,48.0,42645
Susu Pilihan,Lainnya,133,2.4,3.8,3.1,16839
Melon Asin,Buah,30,0.1,0.7,19.9,48354
Jeruk Asin,Lainnya,97,2.1,1.0,20.3,54541
Ketan Segar,Lainnya,355,7.3,2.4,81.4,13325
Mete Manis,Lainnya,448,32.7,41.1,33.3,23489
Daging Kerbau Kemasan,Protein,264,23.6,15.0,4.6,94890
Biskuit Hijau,Lainnya,276,6.8,12.3,34.4,25117
Daging Sapi Hijau,Protein,153,26.6,22.2,4.8,50129
Mentimun Merah,Lainnya,36,1.6,0.7,5.7,10772
Nasi Putih,Karbohidrat,355,7.4,0.6,81.6,14543
Ikan Tongkol Segar,Protein,192,20.9,5.6,2.1,113427
Bayam Organik,Protein,25,4.4,0.8,3.4,28789
Susu Curah,Lainnya,122,1.5,7.5,29.6,8447
Ikan Tongkol Pilihan,Protein,204,27.2,9.5,0.6,84002
Beras Putih,Karbohidrat,343,8.4,0.3,78.5,13117
Teh Lokal,Lainnya,15,7.8,7.4,11.8,9817
Pepaya Curah,Buah,44,2.2,0.3,27.0,31505
Kacang Tanah Import,Lainnya,378,34.2,17.3,13.5,41733
Nasi Manis,Karbohidrat,348,6.5,0.6,77.2,20933
Ikan Tongkol Premium,Protein,206,15.3,12.1,0.4,49917
Mie Curah,Lainnya,302,7.7,13.5,30.3,84800
Mete Rendah Lemak,Lainnya,391,19.9,22.4,31.9,78651
Susu Pilihan,Lainnya,11,4.6,0.5,17.6,39984
Beras Import,Karbohidrat,354,6.2,2.3,76.6,21714
Jeruk Merah,Lainnya,49,0.1,1.2,9.3,37301
Bayam Organik,Protein,23,2.0,0.9,8.3,39093
Jus Beku,Lainnya,79,7.8,3.9,15.6,28191
Jus Putih,Lainnya,135,3.1,0.8,7.2,19612
Sosis Asin,Lainnya,431,5.3,10.4,55.9,63542
Teh Organik,Lainnya,137,2.6,3.5,10.7,6771
Tomat Kemasan,Lainnya,34,3.4,0.3,9.3,14721
Daging Kambing Curah,Protein,225,29.0,5.5,3.4,163804
Kubis Tinggi Protein,Lainnya,26,4.5,0.8,10.9,15545
Beras Merah,Karbohidrat,344,8.3,2.1,79.5,17995
Mete Super,Lainnya,529,20.8,11.0,48.8,61180
Daging Kambing Super,Protein,247,23.1,16.5,3.9,173359
Daging Sapi Hitam,Protein,265,20.7,12.3,0.7,171040
